"blurred_1_path","noise_9_path","noise_adjustment_time","noise_1_path","noise_5_path","scaled_10_path","total_preprocessing_time","scaled_50_path","brightness_0.25_path","scaled_70_path","id","brightness_3.0_path","scaled_90_path","noise_3_path","blurred_13_path","blurred_17_path","blurred_9_path","bluring_operation_time","blurred_5_path","scaled_30_path","brightness_adjustment_time","brightness_1.5_path","noise_7_path","scaling_operation_time"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/blurred_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/noise_9.jfif","0.8702010070000004","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/noise_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/noise_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/scaled_10.jfif","3.463887435","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/scaled_50.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/brightness_0.25.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/scaled_70.jfif","10_eg880LWh","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/brightness_3.0.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/scaled_90.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/noise_3.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/blurred_13.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/blurred_17.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/blurred_9.jfif","0.8837773580000006","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/blurred_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/scaled_30.jfif","0.5076512170000003","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/brightness_1.5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/10_eg880LWh/noise_7.jfif","0.897403068"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/blurred_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/noise_9.jfif","3.2923683520000395","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/noise_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/noise_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/scaled_10.jfif","6.671853992000024","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/scaled_50.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/brightness_0.25.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/scaled_70.jfif","11_gS43iZEE","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/brightness_3.0.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/scaled_90.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/noise_3.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/blurred_13.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/blurred_17.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/blurred_9.jfif","1.0953150929999538","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/blurred_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/scaled_30.jfif","0.7071897430000718","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/brightness_1.5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/11_gS43iZEE/noise_7.jfif","0.9627845829998023"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/blurred_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/noise_9.jfif","0.8899571549999976","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/noise_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/noise_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/scaled_10.jfif","4.113259352","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/scaled_50.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/brightness_0.25.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/scaled_70.jfif","12_vAH9D0Qg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/brightness_3.0.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/scaled_90.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/noise_3.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/blurred_13.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/blurred_17.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/blurred_9.jfif","0.8671656160000012","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/blurred_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/scaled_30.jfif","0.5164334509999975","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/brightness_1.5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/12_vAH9D0Qg/noise_7.jfif","1.057424503"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/blurred_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/noise_9.jfif","0.8788578619999896","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/noise_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/noise_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/scaled_10.jfif","3.281479372000007","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/scaled_50.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/brightness_0.25.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/scaled_70.jfif","13_ZWCm12OZ","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/brightness_3.0.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/scaled_90.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/noise_3.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/blurred_13.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/blurred_17.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/blurred_9.jfif","0.8783518890000153","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/blurred_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/scaled_30.jfif","0.5288460189999853","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/brightness_1.5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/13_ZWCm12OZ/noise_7.jfif","0.8916574729999809"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/blurred_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/noise_9.jfif","0.8626623080000115","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/noise_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/noise_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/scaled_10.jfif","3.2435411740000006","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/scaled_50.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/brightness_0.25.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/scaled_70.jfif","14_VMuxA9YT","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/brightness_3.0.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/scaled_90.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/noise_3.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/blurred_13.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/blurred_17.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/blurred_9.jfif","0.8901299519999952","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/blurred_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/scaled_30.jfif","0.5527018049999981","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/brightness_1.5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/14_VMuxA9YT/noise_7.jfif","0.8411294779999992"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/blurred_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/noise_9.jfif","0.8750556559999723","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/noise_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/noise_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/scaled_10.jfif","3.1792524859999958","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/scaled_50.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/brightness_0.25.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/scaled_70.jfif","15_Vg9GrLYf","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/brightness_3.0.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/scaled_90.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/noise_3.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/blurred_13.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/blurred_17.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/blurred_9.jfif","0.8219302109999944","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/blurred_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/scaled_30.jfif","0.500662841999997","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/brightness_1.5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/15_Vg9GrLYf/noise_7.jfif","0.8750478279999925"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/blurred_1.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/noise_9.jpeg","2.705403413","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/noise_1.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/noise_5.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/scaled_10.jpeg","6.196386257","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/scaled_50.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/brightness_0.25.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/scaled_70.jpeg","16_UXgd8xTe","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/brightness_3.0.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/scaled_90.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/noise_3.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/blurred_13.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/blurred_17.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/blurred_9.jpeg","1.258223631","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/blurred_5.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/scaled_30.jpeg","0.7079466980000007","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/brightness_1.5.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/16_UXgd8xTe/noise_7.jpeg","1.0731962240000001"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/blurred_1.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/noise_9.jpeg","5.2253615910000235","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/noise_1.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/noise_5.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/scaled_10.jpeg","8.687049734000084","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/scaled_50.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/brightness_0.25.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/scaled_70.jpeg","17_MVcj64xT","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/brightness_3.0.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/scaled_90.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/noise_3.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/blurred_13.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/blurred_17.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/blurred_9.jpeg","1.3352141149999852","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/blurred_5.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/scaled_30.jpeg","0.7873220069999434","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/brightness_1.5.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/17_MVcj64xT/noise_7.jpeg","1.1427742199999784"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/blurred_1.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/noise_9.jpeg","5.124951041999992","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/noise_1.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/noise_5.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/scaled_10.jpeg","8.221751978000015","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/scaled_50.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/brightness_0.25.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/scaled_70.jpeg","18_1jH3g7WR","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/brightness_3.0.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/scaled_90.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/noise_3.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/blurred_13.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/blurred_17.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/blurred_9.jpeg","1.3041589120000197","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/blurred_5.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/scaled_30.jpeg","0.700294662999994","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/brightness_1.5.jpeg","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/18_1jH3g7WR/noise_7.jpeg","0.952651641999978"
"https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/blurred_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/noise_9.jfif","0.9050201789999619","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/noise_1.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/noise_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/scaled_10.jfif","4.414780102000009","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/scaled_50.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/brightness_0.25.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/scaled_70.jfif","1_rXmlzLg5","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/brightness_3.0.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/scaled_90.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/noise_3.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/blurred_13.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/blurred_17.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/blurred_9.jfif","0.9714304230000153","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/blurred_5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/scaled_30.jfif","0.5354311109999799","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/brightness_1.5.jfif","https://storage.googleapis.com/<Bucket: preprocessed_license_plate_images>/1_rXmlzLg5/noise_7.jfif","1.101824717999989"
